first_bug_hit_ratio,second_bug_hit_ratio,file
0.15,0.48,1
0.15,0.5,3
0.15,0.52,1
0.15,0.69,1
0.15,0.7,1
0.15,0.73,1
0.16,0.0,44
0.16,0.02,5
0.16,0.03,18
0.16,0.04,10
0.16,0.05,10
0.16,0.06,27
0.16,0.07,18
0.16,0.08,24
0.16,0.09,15
0.16,0.1,24
0.16,0.11,17
0.16,0.12,10
0.16,0.13,21
0.16,0.14,13
0.16,0.15,18
0.16,0.16,4
0.16,0.17,21
0.16,0.18,14
0.16,0.19,13
0.16,0.2,18
0.16,0.21,8
0.16,0.22,4
0.16,0.23,7
0.16,0.24,3
0.16,0.25,9
0.16,0.26,4
0.16,0.27,15
0.16,0.28,2
0.16,0.29,3
0.16,0.3,7
0.16,0.31,2
0.16,0.32,1
0.16,0.33,3
0.16,0.35,2
0.16,0.36,2
0.16,0.38,4
0.16,0.41,1
0.16,0.42,2
0.16,0.45,3
0.16,0.46,2
0.16,0.47,1
0.16,0.52,1
0.16,0.57,1
0.16,0.69,1
0.17,0.0,102
0.17,0.02,4
0.17,0.03,7
0.17,0.04,24
0.17,0.05,34
0.17,0.06,21
0.17,0.07,44
0.17,0.08,43
0.17,0.09,37
0.17,0.1,45
0.17,0.11,23
0.17,0.12,17
0.17,0.13,37
0.17,0.14,26
0.17,0.15,33
0.17,0.16,26
0.17,0.17,40
0.17,0.18,26
0.17,0.19,17
0.17,0.2,22
0.17,0.21,22
0.17,0.22,16
0.17,0.23,17
0.17,0.24,12
0.17,0.25,26
0.17,0.26,8
0.17,0.27,24
0.17,0.28,5
0.17,0.29,9
0.17,0.3,8
0.17,0.31,8
0.17,0.33,5
0.17,0.34,2
0.17,0.35,5
0.17,0.36,2
0.17,0.38,5
0.17,0.39,1
0.17,0.4,8
0.17,0.41,6
0.17,0.42,6
0.17,0.43,2
0.17,0.44,2
0.17,0.45,2
0.17,0.46,1
0.17,0.47,2
0.17,0.48,2
0.17,0.5,3
0.17,0.53,1
0.17,0.54,1
0.17,0.55,3
0.17,0.56,1
0.17,0.61,1
0.17,0.64,1
0.17,0.69,1
0.18,0.0,158
0.18,0.02,5
0.18,0.03,19
0.18,0.04,19
0.18,0.05,31
0.18,0.06,24
0.18,0.07,22
0.18,0.08,45
0.18,0.09,28
0.18,0.1,32
0.18,0.11,25
0.18,0.12,13
0.18,0.13,32
0.18,0.14,34
0.18,0.15,29
0.18,0.16,12
0.18,0.17,32
0.18,0.18,23
0.18,0.19,21
0.18,0.2,33
0.18,0.21,20
0.18,0.22,9
0.18,0.23,19
0.18,0.24,11
0.18,0.25,13
0.18,0.26,13
0.18,0.27,13
0.18,0.28,8
0.18,0.29,20
0.18,0.3,10
0.18,0.31,12
0.18,0.32,6
0.18,0.33,7
0.18,0.34,3
0.18,0.35,5
0.18,0.36,4
0.18,0.38,4
0.18,0.39,5
0.18,0.4,5
0.18,0.42,4
0.18,0.43,1
0.18,0.44,1
0.18,0.45,2
0.18,0.46,1
0.18,0.47,3
0.18,0.5,5
0.18,0.57,1
0.18,0.58,1
0.18,0.6,1
0.18,0.61,1
0.18,0.71,1
0.19,0.0,62
0.19,0.02,1
0.19,0.03,10
0.19,0.04,17
0.19,0.05,24
0.19,0.06,29
0.19,0.07,18
0.19,0.08,20
0.19,0.09,21
0.19,0.1,22
0.19,0.11,14
0.19,0.12,12
0.19,0.13,19
0.19,0.14,25
0.19,0.15,23
0.19,0.16,10
0.19,0.17,20
0.19,0.18,20
0.19,0.19,16
0.19,0.2,23
0.19,0.21,10
0.19,0.22,4
0.19,0.23,8
0.19,0.24,8
0.19,0.25,19
0.19,0.26,6
0.19,0.27,12
0.19,0.28,5
0.19,0.29,5
0.19,0.3,7
0.19,0.31,3
0.19,0.32,7
0.19,0.33,8
0.19,0.34,2
0.19,0.35,5
0.19,0.36,5
0.19,0.37,1
0.19,0.38,2
0.19,0.39,1
0.19,0.4,7
0.19,0.42,4
0.19,0.43,2
0.19,0.44,5
0.19,0.46,1
0.19,0.47,1
0.19,0.48,1
0.19,0.5,5
0.19,0.53,2
0.19,0.54,1
0.19,0.55,2
0.19,0.58,1
0.19,0.6,1
0.19,0.62,1
0.19,0.7,1
0.2,0.0,116
0.2,0.01,2
0.2,0.02,6
0.2,0.03,7
0.2,0.04,14
0.2,0.05,24
0.2,0.06,23
0.2,0.07,29
0.2,0.08,44
0.2,0.09,24
0.2,0.1,38
0.2,0.11,23
0.2,0.12,21
0.2,0.13,39
0.2,0.14,22
0.2,0.15,31
0.2,0.16,12
0.2,0.17,28
0.2,0.18,39
0.2,0.19,16
0.2,0.2,27
0.2,0.21,18
0.2,0.22,9
0.2,0.23,19
0.2,0.24,9
0.2,0.25,22
0.2,0.26,7
0.2,0.27,20
0.2,0.28,8
0.2,0.29,6
0.2,0.3,16
0.2,0.31,7
0.2,0.32,5
0.2,0.33,11
0.2,0.34,1
0.2,0.35,1
0.2,0.36,15
0.2,0.37,1
0.2,0.38,6
0.2,0.4,8
0.2,0.41,3
0.2,0.42,2
0.2,0.43,5
0.2,0.44,1
0.2,0.45,1
0.2,0.46,4
0.2,0.5,8
0.2,0.54,1
0.2,0.57,1
0.2,0.59,2
0.2,0.63,1
0.2,0.64,1
0.2,0.68,1
0.2,0.71,1
0.2,0.72,1
0.21,0.0,67
0.21,0.01,2
0.21,0.02,2
0.21,0.03,8
0.21,0.04,8
0.21,0.05,8
0.21,0.06,18
0.21,0.07,26
0.21,0.08,20
0.21,0.09,18
0.21,0.1,19
0.21,0.11,20
0.21,0.12,11
0.21,0.13,24
0.21,0.14,30
0.21,0.15,19
0.21,0.16,11
0.21,0.17,25
0.21,0.18,21
0.21,0.19,16
0.21,0.2,21
0.21,0.21,22
0.21,0.22,12
0.21,0.23,13
0.21,0.24,7
0.21,0.25,8
0.21,0.26,7
0.21,0.27,16
0.21,0.28,7
0.21,0.29,9
0.21,0.3,13
0.21,0.31,6
0.21,0.32,7
0.21,0.33,8
0.21,0.34,1
0.21,0.35,4
0.21,0.36,7
0.21,0.38,5
0.21,0.39,1
0.21,0.4,6
0.21,0.41,5
0.21,0.42,1
0.21,0.45,5
0.21,0.46,4
0.21,0.47,1
0.21,0.5,4
0.21,0.52,1
0.21,0.54,1
0.21,0.56,1
0.21,0.57,1
0.21,0.63,1
0.21,0.73,1
0.22,0.0,35
0.22,0.02,5
0.22,0.04,3
0.22,0.05,4
0.22,0.06,5
0.22,0.07,10
0.22,0.08,9
0.22,0.09,16
0.22,0.1,11
0.22,0.11,5
0.22,0.12,11
0.22,0.13,6
0.22,0.14,10
0.22,0.15,11
0.22,0.16,7
0.22,0.17,12
0.22,0.18,16
0.22,0.19,5
0.22,0.2,17
0.22,0.21,10
0.22,0.22,3
0.22,0.23,4
0.22,0.24,7
0.22,0.25,8
0.22,0.26,6
0.22,0.27,4
0.22,0.28,1
0.22,0.29,8
0.22,0.3,1
0.22,0.31,9
0.22,0.32,4
0.22,0.33,3
0.22,0.34,1
0.22,0.35,2
0.22,0.36,5
0.22,0.37,3
0.22,0.38,4
0.22,0.39,1
0.22,0.4,1
0.22,0.43,1
0.22,0.44,1
0.22,0.46,3
0.22,0.47,1
0.22,0.48,2
0.22,0.5,4
0.22,0.51,1
0.22,0.53,2
0.23,0.0,41
0.23,0.03,3
0.23,0.04,5
0.23,0.05,9
0.23,0.06,8
0.23,0.07,10
0.23,0.08,23
0.23,0.09,19
0.23,0.1,18
0.23,0.11,10
0.23,0.12,10
0.23,0.13,18
0.23,0.14,10
0.23,0.15,15
0.23,0.16,8
0.23,0.17,18
0.23,0.18,13
0.23,0.19,11
0.23,0.2,18
0.23,0.21,17
0.23,0.22,5
0.23,0.23,6
0.23,0.24,7
0.23,0.25,12
0.23,0.26,3
0.23,0.27,10
0.23,0.28,2
0.23,0.29,7
0.23,0.3,5
0.23,0.31,2
0.23,0.32,1
0.23,0.33,13
0.23,0.35,2
0.23,0.36,3
0.23,0.37,2
0.23,0.38,7
0.23,0.39,3
0.23,0.4,5
0.23,0.41,1
0.23,0.42,5
0.23,0.43,1
0.23,0.45,4
0.23,0.5,5
0.23,0.53,1
0.23,0.55,1
0.23,0.56,1
0.23,0.6,1
0.23,0.62,1
0.23,0.65,1
0.23,0.67,1
0.23,0.69,1
0.23,0.83,1
0.24,0.0,45
0.24,0.03,1
0.24,0.04,3
0.24,0.05,6
0.24,0.06,9
0.24,0.07,6
0.24,0.08,17
0.24,0.09,9
0.24,0.1,10
0.24,0.11,9
0.24,0.12,12
