feature_name,Pearson,positive_corrective_rate_avg,positive_corrective_rate_std,positive_files_num,negative_corrective_rate_avg,negative_corrective_rate_std,negative_files_num,accuracy,hit_rate,precision,precision_lift,recall,Jaccard,prob_in_reduced_risk,lift_in_reduced_risk,CCP
TypeName,-0.01,0.11,0.13788306523681385,33.0,0.12328122461829598,0.1238439103098747,7935.0,0.95,0.0,0.12,1.68,0.01,0.01,0.01,,0.09
NoWhitespaceBefore,0.01,0.14,0.11352992506505277,37.0,0.1231409570776497,0.12394986290664625,7931.0,0.95,0.0,0.11,1.39,0.01,0.01,0.0,,0.12
NeedBraces,0.08,0.17,0.17264161051454613,354.0,0.12119603517482781,0.12079779890645245,7614.0,0.92,0.04,0.1,1.25,0.1,0.05,0.03,-0.25,0.16
MemberName,0.01,0.14,0.14102250277335962,42.0,0.12312703831153339,0.12380891957872492,7926.0,0.95,0.01,0.1,1.11,0.01,0.01,0.01,0.0,0.12
CyclomaticComplexity,0.02,0.16,0.11965514145856851,34.0,0.12303368753401205,0.12389723553912226,7934.0,0.95,0.0,0.09,0.95,0.01,0.01,0.0,,0.15
UnnecessaryParentheses,0.03,0.15,0.16459504140397876,87.0,0.12285875775434958,0.12334529586171337,7881.0,0.95,0.01,0.09,1.04,0.02,0.02,0.01,0.0,0.14
VisibilityModifier,0.06,0.15,0.1550925079315266,546.0,0.12135399476321533,0.12109591223301339,7422.0,0.9,0.07,0.09,1.07,0.14,0.06,0.07,0.0,0.14
ClassMemberImpliedModifier,0.02,0.15,0.15693518660037425,80.0,0.12296491224859858,0.12350932208170469,7888.0,0.95,0.01,0.09,0.94,0.02,0.02,0.01,0.0,0.14
AnonInnerLength,0.01,0.14,0.14282960196133052,22.0,0.1231565999476158,0.12385092017742397,7946.0,0.95,0.0,0.09,1.01,0.01,0.01,0.0,,0.12
MultipleVariableDeclarations,0.0,0.14,0.14397602438502838,11.0,0.12318546315298616,0.12387987567521419,7957.0,0.95,0.0,0.09,1.01,0.0,0.0,0.0,,0.12
ConstantName,0.02,0.14,0.14285191553429819,256.0,0.12270210667036993,0.12320012432066403,7712.0,0.93,0.03,0.09,0.9,0.06,0.04,0.03,0.0,0.12
ParameterAssignment,0.01,0.14,0.14931633094256555,53.0,0.12311034261315625,0.1237186396881192,7915.0,0.95,0.01,0.09,1.09,0.01,0.01,0.01,0.0,0.12
AbbreviationAsWordInName,-0.01,0.12,0.13466078220364805,80.0,0.12327065021009348,0.12379467024161922,7888.0,0.95,0.01,0.09,0.94,0.02,0.02,0.01,0.0,0.1
SingleSpaceSeparator,0.05,0.16,0.13493444055972553,223.0,0.12221714765520719,0.12343597411543605,7745.0,0.93,0.03,0.08,0.79,0.05,0.03,0.02,-0.33333333333333326,0.15
NestedIfDepth,0.01,0.15,0.18510066264621883,50.0,0.12306449176416798,0.12342216902637862,7918.0,0.95,0.01,0.08,0.77,0.01,0.01,0.01,0.0,0.14
MagicNumber,0.04,0.14,0.1646828748568806,616.0,0.12160035885952174,0.11973074553048059,7352.0,0.89,0.08,0.08,0.83,0.14,0.06,0.08,0.0,0.12
JavadocMethod,0.04,0.14,0.14536249681522603,474.0,0.12209145412555386,0.12234262375492876,7494.0,0.9,0.06,0.08,0.68,0.1,0.05,0.05,-0.16666666666666663,0.12
InnerTypeLast,0.01,0.14,0.1553218992454867,85.0,0.12302766131837982,0.12351849721401323,7883.0,0.95,0.01,0.08,0.82,0.02,0.02,0.0,-1.0,0.12
InvalidJavadocPosition,0.0,0.13,0.12411411368157453,39.0,0.12318833561045534,0.12390734792705242,7929.0,0.95,0.0,0.08,0.7,0.01,0.01,0.01,,0.11
any-METRICS CHECKS,0.03,0.16,0.12654183512212636,74.0,0.12289369110701256,0.12384103652908351,7894.0,0.95,0.01,0.07,0.5,0.01,0.01,0.01,0.0,0.15
UnusedImports,0.04,0.15,0.15817652737055363,252.0,0.12234537250228297,0.12253702690059445,7716.0,0.93,0.03,0.07,0.58,0.05,0.03,0.03,0.0,0.14
RedundantModifier,0.04,0.15,0.1408652909087373,269.0,0.12229403190759927,0.12317585908517438,7699.0,0.93,0.03,0.07,0.65,0.06,0.03,0.03,0.0,0.14
