repo_name,year,Sum_of_Smells,file,MethodLength,NPathComplexity,AvoidInlineConditionals,NestedIfDepth,VisibilityModifier,ccp
GoogleContainerTools/jib,2019,5321.0,34,0.0,0.0,15.0,0.0,2.0,0.14304761904761906
GreenDelta/olca-app,2017,1704.0,5,0.0,0.0,5.0,0.0,0.0,0.2094083769633508
GreenDelta/olca-app,2018,5313.0,5,0.0,1.0,5.0,0.0,845.0,0.10849777777777778
GreenDelta/olca-app,2019,7282.0,9,0.0,1.0,11.0,0.0,899.0,0.3066574074074073
GreenDelta/olca-modules,2017,2412.0,10,0.0,0.0,1.0,0.0,12.0,0.16852486187845306
GreenDelta/olca-modules,2018,1820.0,10,0.0,0.0,1.0,0.0,12.0,0.15502702702702706
GreenDelta/olca-modules,2019,420.0,3,0.0,0.0,2.0,0.0,20.0,0.2676729857819905
HabitatMap/AirCastingAndroidClient,2018,5040.0,18,0.0,1.0,16.0,0.0,130.0,0.2911338028169014
HabitatMap/AirCastingAndroidClient,2019,443.0,2,0.0,0.0,0.0,0.0,7.0,0.1839117647058824
Hack23/cia,2017,2461.0,25,0.0,0.0,0.0,0.0,0.0,0.04596305732484076
HedvigInsurance/bot-service,2017,3541.0,13,2.0,1.0,9.0,7.0,6.0,0.2941515151515151
HedvigInsurance/bot-service,2018,4171.0,25,2.0,1.0,9.0,9.0,32.0,0.2662509578544061
HedvigInsurance/bot-service,2019,4482.0,37,0.0,1.0,6.0,0.0,29.0,0.2262609970674487
HubSpot/Singularity,2017,49415.0,243,2.0,28.0,81.0,46.0,16.0,0.16173864610111394
HubSpot/Singularity,2018,24721.0,51,1.0,33.0,85.0,46.0,2.0,0.1637252906976744
HubSpot/Singularity,2019,46017.0,137,3.0,44.0,102.0,64.0,21.0,0.1916434634974533
HubSpot/jinjava,2017,1644.0,7,0.0,0.0,6.0,2.0,0.0,0.0976772151898734
HubSpot/jinjava,2018,812.0,4,0.0,0.0,0.0,1.0,0.0,0.11752662721893492
HubSpot/jinjava,2019,2927.0,15,0.0,2.0,8.0,4.0,0.0,0.1891256038647343
IBMStreams/streamsx.topology,2017,4963.0,50,1.0,11.0,5.0,18.0,13.0,0.1855067024128686
IBMStreams/streamsx.topology,2018,6848.0,57,0.0,12.0,11.0,20.0,35.0,0.2172056168505516
IBMStreams/streamsx.topology,2019,2756.0,19,0.0,4.0,2.0,4.0,16.0,0.2125364238410596
InformaticsMatters/squonk,2017,1120.0,7,0.0,1.0,7.0,0.0,12.0,0.17030693069306926
InformaticsMatters/squonk,2018,1304.0,5,1.0,1.0,4.0,4.0,15.0,0.20045584045584047
InformaticsMatters/squonk,2019,929.0,5,1.0,2.0,2.0,8.0,9.0,0.2229583333333333
InnovateUKGitHub/innovation-funding-service,2017,67565.0,1215,2.0,2.0,187.0,5.0,110.0,0.2482514855105585
InnovateUKGitHub/innovation-funding-service,2018,107837.0,1864,3.0,4.0,269.0,19.0,150.0,0.20605573107544545
InnovateUKGitHub/innovation-funding-service,2019,117290.0,1866,1.0,7.0,350.0,36.0,122.0,0.28503865614248125
IntegratedAlarmSystem-Group/ias,2018,5986.0,18,1.0,9.0,9.0,8.0,13.0,0.09574855729596045
IntegratedAlarmSystem-Group/ias,2019,1156.0,3,1.0,2.0,0.0,0.0,4.0,0.06216544117647056
IntellectualSites/PlotSquared,2018,6914.0,25,11.0,47.0,56.0,230.0,75.0,0.44275217391304345
IntellectualSites/PlotSquared,2019,18636.0,139,25.0,104.0,145.0,397.0,252.0,0.39186764705882343
JMRI/EngineDriver,2017,14520.0,16,6.0,7.0,17.0,72.0,88.0,0.341695
JMRI/EngineDriver,2018,7743.0,16,6.0,10.0,19.0,118.0,104.0,0.2972361445783132
JMRI/EngineDriver,2019,9834.0,16,11.0,16.0,11.0,164.0,196.0,0.3625678391959799
JNOSQL/diana,2017,493.0,9,0.0,0.0,0.0,0.0,0.0,0.13637027707808566
JNOSQL/diana,2018,433.0,7,0.0,0.0,0.0,0.0,0.0,0.24364664310954054
JabRef/jabref,2017,11967.0,53,9.0,15.0,41.0,81.0,25.0,0.3005890302066772
JabRef/jabref,2018,26439.0,230,22.0,44.0,81.0,192.0,67.0,0.32877343749999993
JabRef/jabref,2019,24050.0,206,18.0,43.0,73.0,154.0,49.0,0.2944187192118227
Jasig/NotificationPortlet,2018,135.0,2,0.0,0.0,1.0,0.0,0.0,0.25316289592760177
Jasig/cas,2017,23343.0,407,0.0,13.0,45.0,29.0,105.0,0.16383607055961072
Jasig/cas,2018,30543.0,666,0.0,13.0,99.0,32.0,131.0,0.2837747035573123
Jasig/uPortal,2017,71967.0,1012,10.0,68.0,281.0,164.0,312.0,0.16062034383954155
Jasig/uPortal,2018,2268.0,5,4.0,11.0,16.0,32.0,6.0,0.12363436123348018
Jasig/uPortal,2019,239.0,1,0.0,0.0,2.0,0.0,0.0,0.07871698113207548
Javlo/javlo,2017,74974.0,36,24.0,91.0,17.0,621.0,203.0,0.12254106280193235
Javlo/javlo,2018,78601.0,36,21.0,93.0,36.0,587.0,212.0,0.06715068493150683
Javlo/javlo,2019,34589.0,12,7.0,37.0,10.0,236.0,109.0,0.016909871244635187
JetBrains/xodus,2017,4377.0,17,0.0,9.0,79.0,36.0,12.0,0.22687972508591064
JetBrains/xodus,2018,3727.0,11,4.0,7.0,45.0,23.0,24.0,0.30081474820143883
JetBrains/xodus,2019,1236.0,2,0.0,2.0,9.0,4.0,3.0,0.2092558139534884
KDE/kdeconnect-android,2017,724.0,4,1.0,2.0,5.0,5.0,1.0,0.14848743718592966
KDE/kdeconnect-android,2018,4206.0,26,1.0,6.0,21.0,29.0,46.0,0.12102777777777775
KDE/kdeconnect-android,2019,2541.0,13,1.0,9.0,14.0,18.0,17.0,0.13732911392405062
KonkerLabs/konker-platform,2017,2821.0,28,0.0,4.0,7.0,3.0,4.0,0.2895755319148936
KonkerLabs/konker-platform,2018,2141.0,11,0.0,5.0,5.0,0.0,0.0,0.16027659574468084
KonkerLabs/konker-platform,2019,2100.0,10,0.0,7.0,12.0,0.0,0.0,0.3155294117647059
Kotori316/QuarryPlus,2017,256.0,1,0.0,0.0,0.0,0.0,0.0,0.2963942307692307
Kotori316/QuarryPlus,2018,256.0,1,0.0,0.0,0.0,0.0,0.0,0.15318987341772153
Kotori316/QuarryPlus,2019,3381.0,18,0.0,8.0,31.0,57.0,57.0,0.11724456521739128
LWJGL/lwjgl3,2017,461.0,1,0.0,1.0,2.0,0.0,0.0,0.2266630196936543
