,feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
94,ClassMemberImpliedModifier,348.0,23596.0,1908.0,7183.0,33035.0,0.72,0.23,0.07,0.15,-0.32,0.05,0.07,0.04,0.73,-0.01,-0.06,0.77,0.36,0.0,
95,ExecutableStatementCount,1026.0,19802.0,5702.0,6505.0,33035.0,0.63,0.23,0.2,0.15,-0.33,0.14,0.22,0.08,0.66,-0.05,-0.18,0.77,0.73,0.01,
96,ArrayTypeStyle,88.0,25012.0,492.0,7443.0,33035.0,0.76,0.23,0.02,0.15,-0.33,0.01,0.02,0.01,0.76,-0.0,-0.02,0.77,0.13,0.0,
97,OneStatementPerLine,54.0,25202.0,302.0,7477.0,33035.0,0.76,0.23,0.01,0.15,-0.33,0.01,0.01,0.01,0.77,-0.0,-0.01,0.77,0.09,0.0,
98,TodoComment,380.0,23358.0,2146.0,7151.0,33035.0,0.72,0.23,0.08,0.15,-0.34,0.05,0.08,0.04,0.73,-0.02,-0.07,0.77,0.39,0.0,
99,VariableDeclarationUsageDistance,489.0,22702.0,2802.0,7042.0,33035.0,0.7,0.23,0.1,0.15,-0.35,0.06,0.11,0.05,0.72,-0.02,-0.09,0.77,0.47,0.0,
100,ClassDataAbstractionCoupling,932.0,20158.0,5346.0,6599.0,33035.0,0.64,0.23,0.19,0.15,-0.35,0.12,0.21,0.07,0.67,-0.05,-0.17,0.77,0.7,0.01,
101,SimplifyBooleanReturn,19.0,25393.0,111.0,7512.0,33035.0,0.77,0.23,0.0,0.15,-0.36,0.0,0.0,0.0,0.77,-0.0,-0.0,0.77,0.04,0.0,
102,BooleanExpressionComplexity,245.0,24074.0,1430.0,7286.0,33035.0,0.74,0.23,0.05,0.15,-0.36,0.03,0.06,0.03,0.74,-0.01,-0.05,0.77,0.29,0.0,
103,ExplicitInitialization,650.0,21715.0,3789.0,6881.0,33035.0,0.68,0.23,0.13,0.15,-0.36,0.09,0.15,0.06,0.7,-0.03,-0.12,0.77,0.57,0.0,
104,JavaNCSS,722.0,21292.0,4212.0,6809.0,33035.0,0.67,0.23,0.15,0.15,-0.36,0.1,0.17,0.06,0.69,-0.04,-0.14,0.77,0.61,0.01,
105,AvoidNestedBlocks,128.0,24748.0,756.0,7403.0,33035.0,0.75,0.23,0.03,0.14,-0.36,0.02,0.03,0.02,0.76,-0.01,-0.02,0.77,0.18,0.0,
106,MissingSwitchDefault,260.0,23969.0,1535.0,7271.0,33035.0,0.73,0.23,0.05,0.14,-0.36,0.03,0.06,0.03,0.74,-0.01,-0.05,0.77,0.3,0.0,
