,feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
116,MethodTypeParameterName,27.0,24305.0,79.0,8624.0,33035.0,0.74,0.26,0.0,0.25,-0.03,0.0,0.0,0.0,0.74,-0.0,-0.0,0.83,0.03,0.0,
117,SuperClone,21.0,24322.0,62.0,8630.0,33035.0,0.74,0.26,0.0,0.25,-0.03,0.0,0.0,0.0,0.74,-0.0,-0.0,0.83,0.03,0.0,
118,ModifierOrder,532.0,22777.0,1607.0,8119.0,33035.0,0.71,0.26,0.06,0.25,-0.05,0.06,0.07,0.05,0.71,-0.0,-0.04,0.83,0.35,0.0,
119,AbbreviationAsWordInName,323.0,23390.0,994.0,8328.0,33035.0,0.72,0.26,0.04,0.25,-0.06,0.04,0.04,0.03,0.72,-0.0,-0.03,0.83,0.24,0.0,
120,WriteTag,4470.0,10738.0,13646.0,4181.0,33035.0,0.46,0.26,0.55,0.25,-0.06,0.52,0.56,0.2,0.48,-0.03,-0.38,0.83,0.99,0.0,
121,ThrowsCount,38.0,24267.0,117.0,8613.0,33035.0,0.74,0.26,0.0,0.25,-0.06,0.0,0.0,0.0,0.74,-0.0,-0.0,0.83,0.04,0.0,
122,SimplifyBooleanExpression,94.0,24098.0,286.0,8557.0,33035.0,0.73,0.26,0.01,0.25,-0.06,0.01,0.01,0.01,0.73,-0.0,-0.01,0.83,0.09,0.0,
123,JavadocPackage,1299.0,20332.0,4052.0,7352.0,33035.0,0.65,0.26,0.16,0.24,-0.07,0.15,0.17,0.1,0.66,-0.01,-0.11,0.83,0.64,0.0,
124,HideUtilityClassConstructor,505.0,22822.0,1562.0,8146.0,33035.0,0.71,0.26,0.06,0.24,-0.07,0.06,0.06,0.05,0.71,-0.0,-0.04,0.83,0.34,0.0,
125,ParameterName,181.0,23806.0,578.0,8470.0,33035.0,0.73,0.26,0.02,0.24,-0.09,0.02,0.02,0.02,0.73,-0.0,-0.02,0.83,0.16,0.0,
126,MemberName,355.0,23246.0,1138.0,8296.0,33035.0,0.71,0.26,0.05,0.24,-0.09,0.04,0.05,0.04,0.72,-0.0,-0.03,0.83,0.27,0.0,
127,InterfaceMemberImpliedModifier,731.0,22008.0,2376.0,7920.0,33035.0,0.69,0.26,0.09,0.24,-0.1,0.08,0.1,0.07,0.69,-0.01,-0.07,0.83,0.45,0.0,
128,MissingJavadocType,3686.0,12433.0,11951.0,4965.0,33035.0,0.49,0.26,0.47,0.24,-0.1,0.43,0.49,0.18,0.51,-0.05,-0.34,0.83,1.0,0.0,
129,AvoidEscapedUnicodeCharacters,50.0,24219.0,165.0,8601.0,33035.0,0.73,0.26,0.01,0.23,-0.11,0.01,0.01,0.01,0.74,-0.0,-0.0,0.83,0.06,0.0,
130,NoLineWrap,3.0,24374.0,10.0,8648.0,33035.0,0.74,0.26,0.0,0.23,-0.12,0.0,0.0,0.0,0.74,-0.0,-0.0,0.83,0.01,0.0,
131,LocalFinalVariableName,161.0,23844.0,540.0,8490.0,33035.0,0.73,0.26,0.02,0.23,-0.12,0.02,0.02,0.02,0.73,-0.0,-0.02,0.83,0.15,0.0,
